kol_name,ticker,sector,sentiment,confidence,prediction_time,video_id,title,company,sentiment_score
Invest with Henry,AVGO,Information Technology,positive,0.9,2024-12-18 21:50:46+00:00,XpWMjvWVz_U,Why I'm Buying Nvidia Stock (NVDA) NOW - Analysts Are WRONG,Broadcom,0.7
Invest with Henry,INTC,Information Technology,negative,0.9,2024-12-18 21:50:46+00:00,XpWMjvWVz_U,Why I'm Buying Nvidia Stock (NVDA) NOW - Analysts Are WRONG,Intel,-0.8
Invest with Henry,INTC,Information Technology,negative,0.9,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Intel,-0.7
Invest with Henry,NVDA,Information Technology,positive,0.95,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Nvidia,0.2
Invest with Henry,BAC,Financials,negative,0.9,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Bank of America,0.0
Invest with Henry,AMZN,Consumer Discretionary,negative,0.95,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Amazon,0.0
Invest with Henry,MSFT,Information Technology,negative,0.95,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Microsoft,0.0
Invest with Henry,ABNB,Consumer Discretionary,positive,0.9,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Airbnb,0.5
Invest with Henry,GS,Financials,negative,0.9,2024-12-16 18:19:56+00:00,bbuEFmIDxp8,$500 Into This Stock Will Surpass Your Full Time Job,Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-15 15:30:19+00:00,gMSr_XFQrwU,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #TSLA #PLTR #NVDA #SPY #AMD,Nvidia,0.8
Invest with Henry,GS,Financials,negative,1.0,2024-12-15 15:30:19+00:00,gMSr_XFQrwU,URGENT: WATCH BEFORE MONDAY 930am! #SOFI #TSLA #PLTR #NVDA #SPY #AMD,Goldman Sachs,-0.2
Invest with Henry,UBER,Industrials,positive,0.9,2024-12-14 15:30:22+00:00,p3gMXWKtP-M,If You Hold TESLA STOCK (TSLA) ... GET READY,Uber,0.5
Invest with Henry,MCD,Consumer Discretionary,negative,0.8,2024-12-14 15:30:22+00:00,p3gMXWKtP-M,If You Hold TESLA STOCK (TSLA) ... GET READY,McDonald's,0.0
Invest with Henry,MS,Financials,negative,0.9,2024-12-13 14:30:07+00:00,EKVJnJC9lzw,Top 3 Stocks I'm Buying to Make MILLIONS in 2025,Morgan Stanley,0.0
Invest with Henry,NVDA,Information Technology,positive,0.9,2024-12-13 14:30:07+00:00,EKVJnJC9lzw,Top 3 Stocks I'm Buying to Make MILLIONS in 2025,Nvidia,0.6
Invest with Henry,INTC,Information Technology,negative,0.9,2024-12-13 14:30:07+00:00,EKVJnJC9lzw,Top 3 Stocks I'm Buying to Make MILLIONS in 2025,Intel,-0.5
Invest with Henry,MSFT,Information Technology,positive,0.9,2024-12-13 14:30:07+00:00,EKVJnJC9lzw,Top 3 Stocks I'm Buying to Make MILLIONS in 2025,Microsoft,0.8
Invest with Henry,WMT,Consumer Staples,positive,0.9,2024-12-13 14:30:07+00:00,EKVJnJC9lzw,Top 3 Stocks I'm Buying to Make MILLIONS in 2025,Walmart,0.9
Invest with Henry,SBUX,Consumer Discretionary,negative,0.9,2024-12-13 14:30:07+00:00,EKVJnJC9lzw,Top 3 Stocks I'm Buying to Make MILLIONS in 2025,Starbucks,-0.5
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-08 14:15:01+00:00,Qy1Uzkk4q0M,WATCH BEFORE MONDAY 930am! #SOFI #TSLA #PLTR #NVDA #SPY #SMCI,Nvidia,0.8
Invest with Henry,AMZN,Consumer Discretionary,positive,0.9,2024-12-08 14:15:01+00:00,Qy1Uzkk4q0M,WATCH BEFORE MONDAY 930am! #SOFI #TSLA #PLTR #NVDA #SPY #SMCI,Amazon,0.2
Invest with Henry,GS,Financials,negative,0.9,2024-12-08 14:15:01+00:00,Qy1Uzkk4q0M,WATCH BEFORE MONDAY 930am! #SOFI #TSLA #PLTR #NVDA #SPY #SMCI,Goldman Sachs,0.0
Invest with Henry,BLK,Financials,positive,0.9,2024-12-08 14:15:01+00:00,Qy1Uzkk4q0M,WATCH BEFORE MONDAY 930am! #SOFI #TSLA #PLTR #NVDA #SPY #SMCI,BlackRock,0.2
Invest with Henry,BAC,Financials,positive,1.0,2024-12-07 16:00:36+00:00,eVifPL2xAPM,"I JUST Invested $1.5 MILLION in Tesla Stock (TSLA), Here's Why",Bank of America,0.8
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-12-07 16:00:36+00:00,eVifPL2xAPM,"I JUST Invested $1.5 MILLION in Tesla Stock (TSLA), Here's Why",Nvidia,0.9
Invest with Henry,GS,Financials,negative,1.0,2024-12-07 16:00:36+00:00,eVifPL2xAPM,"I JUST Invested $1.5 MILLION in Tesla Stock (TSLA), Here's Why",Goldman Sachs,0.0
Invest with Henry,GS,Financials,negative,0.9,2024-12-05 14:30:08+00:00,Is662tG7DzE,Palantir Stock (PLTR) Unusual Options Opportunity (DO THIS NOW),Goldman Sachs,0.0
Invest with Henry,PLTR,Information Technology,positive,0.95,2024-11-30 22:30:06+00:00,A3Mq7iq_jpk,WATCH BEFORE MONDAY 930am! #SOFI #PLTR #TSLA #NVDA #SPY #SMCI,Palantir Technologies,0.9
Invest with Henry,NVDA,Information Technology,positive,0.95,2024-11-30 22:30:06+00:00,A3Mq7iq_jpk,WATCH BEFORE MONDAY 930am! #SOFI #PLTR #TSLA #NVDA #SPY #SMCI,Nvidia,0.9
Invest with Henry,PYPL,Financials,positive,0.9,2024-11-30 22:30:06+00:00,A3Mq7iq_jpk,WATCH BEFORE MONDAY 930am! #SOFI #PLTR #TSLA #NVDA #SPY #SMCI,PayPal,0.2
Invest with Henry,GS,Financials,negative,0.95,2024-11-30 22:30:06+00:00,A3Mq7iq_jpk,WATCH BEFORE MONDAY 930am! #SOFI #PLTR #TSLA #NVDA #SPY #SMCI,Goldman Sachs,-0.5
Invest with Henry,BAC,Financials,negative,0.95,2024-11-30 22:30:06+00:00,A3Mq7iq_jpk,WATCH BEFORE MONDAY 930am! #SOFI #PLTR #TSLA #NVDA #SPY #SMCI,Bank of America,-0.2
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-29 20:30:00+00:00,BdAalfGEON8,"RETIRE EARLY ON JUST $212,000 With The Wheel Strategy on THESE Stocks",Nvidia,0.9
Invest with Henry,NFLX,Communication Services,positive,1.0,2024-11-29 20:30:00+00:00,BdAalfGEON8,"RETIRE EARLY ON JUST $212,000 With The Wheel Strategy on THESE Stocks",Netflix,0.5
Invest with Henry,MSFT,Information Technology,positive,1.0,2024-11-29 20:30:00+00:00,BdAalfGEON8,"RETIRE EARLY ON JUST $212,000 With The Wheel Strategy on THESE Stocks",Microsoft,0.8
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-11-29 20:30:00+00:00,BdAalfGEON8,"RETIRE EARLY ON JUST $212,000 With The Wheel Strategy on THESE Stocks",Amazon,0.8
Invest with Henry,KHC,Consumer Staples,positive,0.9,2024-11-29 20:30:00+00:00,BdAalfGEON8,"RETIRE EARLY ON JUST $212,000 With The Wheel Strategy on THESE Stocks",Kraft Heinz,0.5
Invest with Henry,BAC,Financials,positive,1.0,2024-11-29 20:30:00+00:00,BdAalfGEON8,"RETIRE EARLY ON JUST $212,000 With The Wheel Strategy on THESE Stocks",Bank of America,0.5
Invest with Henry,NVDA,Information Technology,positive,0.98,2024-11-28 14:30:01+00:00,45292DvRbvw,Top 4 Options I'm Buying NOW (10% in December 2024),Nvidia,0.95
Invest with Henry,GS,Financials,negative,0.9,2024-11-28 14:30:01+00:00,45292DvRbvw,Top 4 Options I'm Buying NOW (10% in December 2024),Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,0.9,2024-11-27 15:00:11+00:00,DdK02X_6890,Maximize Profits on Tesla Stock (TSLA) WITHOUT Buying More Shares!,Nvidia,0.7
Invest with Henry,GS,Financials,negative,0.9,2024-11-27 15:00:11+00:00,DdK02X_6890,Maximize Profits on Tesla Stock (TSLA) WITHOUT Buying More Shares!,Goldman Sachs,0.0
Invest with Henry,AMZN,Consumer Discretionary,positive,0.9,2024-11-26 19:00:17+00:00,Z38SDPa7TKk,Make Consistent Passive Income by Selling Covered Calls (Options for Beginners),Amazon,0.1
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-26 19:00:17+00:00,Z38SDPa7TKk,Make Consistent Passive Income by Selling Covered Calls (Options for Beginners),Nvidia,0.8
Invest with Henry,GS,Financials,negative,0.9,2024-11-26 19:00:17+00:00,Z38SDPa7TKk,Make Consistent Passive Income by Selling Covered Calls (Options for Beginners),Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-25 14:00:07+00:00,6lfcSLiyjho,Nvidia Stock (NVDA) Shareholders MUST DO THIS After Earnings!,Nvidia,0.9
Invest with Henry,BAC,Financials,negative,0.9,2024-11-25 14:00:07+00:00,6lfcSLiyjho,Nvidia Stock (NVDA) Shareholders MUST DO THIS After Earnings!,Bank of America,0.0
Invest with Henry,GS,Financials,positive,0.9,2024-11-20 16:30:07+00:00,btZrYjyvZWw,Selling Puts on Palantir Stock (PLTR) to Maximize Profits,Goldman Sachs,0.5
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-20 16:30:07+00:00,btZrYjyvZWw,Selling Puts on Palantir Stock (PLTR) to Maximize Profits,Nvidia,0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-18 15:00:10+00:00,6KA8xMwHrjg,Nvidia Stock (NVDA) Shareholders MUST DO THIS BEFORE EARNINGS,Nvidia,0.9
Invest with Henry,GS,Financials,negative,1.0,2024-11-18 15:00:10+00:00,6KA8xMwHrjg,Nvidia Stock (NVDA) Shareholders MUST DO THIS BEFORE EARNINGS,Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,0.95,2024-11-16 18:30:20+00:00,HIf75Bv63zs,Top 3 Options Strategies to Reach $500K FAST,Nvidia,0.7
Invest with Henry,GS,Financials,positive,0.95,2024-11-16 18:30:20+00:00,HIf75Bv63zs,Top 3 Options Strategies to Reach $500K FAST,Goldman Sachs,0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-15 18:41:03+00:00,Jql1SyWuW_w,URGENT: Nvidia Stock (NVDA) Shareholders Need to Do THIS ASAP!,Nvidia,1.0
Invest with Henry,GS,Financials,negative,1.0,2024-11-15 18:41:03+00:00,Jql1SyWuW_w,URGENT: Nvidia Stock (NVDA) Shareholders Need to Do THIS ASAP!,Goldman Sachs,0.0
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-11-15 18:41:03+00:00,Jql1SyWuW_w,URGENT: Nvidia Stock (NVDA) Shareholders Need to Do THIS ASAP!,Amazon,0.5
Invest with Henry,PYPL,Financials,positive,1.0,2024-11-15 18:41:03+00:00,Jql1SyWuW_w,URGENT: Nvidia Stock (NVDA) Shareholders Need to Do THIS ASAP!,PayPal,0.5
Invest with Henry,SBUX,Consumer Discretionary,positive,1.0,2024-11-15 18:41:03+00:00,Jql1SyWuW_w,URGENT: Nvidia Stock (NVDA) Shareholders Need to Do THIS ASAP!,Starbucks,0.5
Invest with Henry,NVDA,Information Technology,positive,0.9,2024-11-14 17:24:49+00:00,F-Qgzn2dCwU,Maximize Profits on Palantir Stock (PLTR) WITHOUT Buying More Shares!,Nvidia,0.7
Invest with Henry,AMZN,Consumer Discretionary,positive,0.9,2024-11-14 17:24:49+00:00,F-Qgzn2dCwU,Maximize Profits on Palantir Stock (PLTR) WITHOUT Buying More Shares!,Amazon,0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-13 15:12:37+00:00,pjUTGjhsajI,URGENT: Tesla Stock (TSLA) Shareholders Need to Do THIS ASAP,Nvidia,0.8
Invest with Henry,MSFT,Information Technology,positive,1.0,2024-11-13 15:12:37+00:00,pjUTGjhsajI,URGENT: Tesla Stock (TSLA) Shareholders Need to Do THIS ASAP,Microsoft,0.7
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-11-13 15:12:37+00:00,pjUTGjhsajI,URGENT: Tesla Stock (TSLA) Shareholders Need to Do THIS ASAP,Amazon,0.7
Invest with Henry,NVDA,Information Technology,negative,0.9,2024-11-12 21:09:10+00:00,MMIw8uLZOH4,SELLING PUTS ON SPY: The Best Hack to Grow Smaller Accounts | OPTIONS TRADING,Nvidia,0.0
Invest with Henry,AMZN,Consumer Discretionary,negative,0.9,2024-11-12 21:09:10+00:00,MMIw8uLZOH4,SELLING PUTS ON SPY: The Best Hack to Grow Smaller Accounts | OPTIONS TRADING,Amazon,0.0
Invest with Henry,MSFT,Information Technology,negative,0.9,2024-11-12 21:09:10+00:00,MMIw8uLZOH4,SELLING PUTS ON SPY: The Best Hack to Grow Smaller Accounts | OPTIONS TRADING,Microsoft,0.0
Invest with Henry,AVGO,Information Technology,negative,0.9,2024-11-12 21:09:10+00:00,MMIw8uLZOH4,SELLING PUTS ON SPY: The Best Hack to Grow Smaller Accounts | OPTIONS TRADING,Broadcom,0.0
Invest with Henry,BRK.B,Financials,negative,0.9,2024-11-12 21:09:10+00:00,MMIw8uLZOH4,SELLING PUTS ON SPY: The Best Hack to Grow Smaller Accounts | OPTIONS TRADING,Berkshire Hathaway,0.0
Invest with Henry,GS,Financials,negative,1.0,2024-11-10 19:45:02+00:00,k2WVXt8U01g,Pro Trader Explains Rolling Options to Avoid Losing Money,Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-10 19:45:02+00:00,k2WVXt8U01g,Pro Trader Explains Rolling Options to Avoid Losing Money,Nvidia,0.7
Invest with Henry,SBUX,Consumer Discretionary,positive,1.0,2024-11-10 19:45:02+00:00,k2WVXt8U01g,Pro Trader Explains Rolling Options to Avoid Losing Money,Starbucks,0.8
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Amazon,0.5
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Nvidia,0.9
Invest with Henry,SBUX,Consumer Discretionary,positive,1.0,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Starbucks,0.7
Invest with Henry,WMT,Consumer Staples,positive,1.0,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Walmart,0.9
Invest with Henry,GS,Financials,negative,0.9,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Goldman Sachs,0.0
Invest with Henry,PYPL,Financials,positive,1.0,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",PayPal,1.0
Invest with Henry,MSFT,Information Technology,positive,1.0,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Microsoft,0.7
Invest with Henry,COIN,Financials,negative,0.9,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Coinbase,-0.6
Invest with Henry,ABNB,Consumer Discretionary,positive,0.9,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Airbnb,0.4
Invest with Henry,KHC,Consumer Staples,positive,0.9,2024-11-09 21:35:15+00:00,X_65DAMIzPE,"These Options Strategies Made Me $316,999 (Options for Beginners)",Kraft Heinz,0.8
Invest with Henry,NVDA,Information Technology,positive,0.9,2024-11-08 21:29:12+00:00,BMI4rXieiuY,Tesla Stock (TSLA) is About to Explode - Dan Ives Says DO THIS NOW,Nvidia,0.7
Invest with Henry,NVDA,Information Technology,positive,0.95,2024-11-07 19:18:12+00:00,xiiWMo2sfqc,"How I Print $5,000–$10,000/Week Using the Wheel Strategy (Free Course)",Nvidia,0.9
Invest with Henry,PYPL,Financials,positive,0.9,2024-11-07 19:18:12+00:00,xiiWMo2sfqc,"How I Print $5,000–$10,000/Week Using the Wheel Strategy (Free Course)",PayPal,0.6
Invest with Henry,GS,Financials,negative,0.95,2024-11-07 19:18:12+00:00,xiiWMo2sfqc,"How I Print $5,000–$10,000/Week Using the Wheel Strategy (Free Course)",Goldman Sachs,0.0
Invest with Henry,GS,Financials,negative,1.0,2024-11-06 16:15:05+00:00,yP4ifmK2oAo,3 Quick Tips to Make $10K Monthly With Covered Calls (Easy Money),Goldman Sachs,0.0
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-11-06 16:15:05+00:00,yP4ifmK2oAo,3 Quick Tips to Make $10K Monthly With Covered Calls (Easy Money),Amazon,0.8
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-06 16:15:05+00:00,yP4ifmK2oAo,3 Quick Tips to Make $10K Monthly With Covered Calls (Easy Money),Nvidia,0.7
Invest with Henry,NVDA,Information Technology,positive,0.9,2024-11-05 15:27:40+00:00,e9EoKE7kXBY,URGENT PALANTIR IS ABOUT TO DO THIS!,Nvidia,0.7
Invest with Henry,FDS,Financials,negative,0.9,2024-11-05 15:27:40+00:00,e9EoKE7kXBY,URGENT PALANTIR IS ABOUT TO DO THIS!,FactSet,0.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-11-01 17:25:36+00:00,bpwXUxqdGsM,Watch Millionaire Trader Sell Puts Live! (Selling put options for beginners),Nvidia,1.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-10-29 21:31:27+00:00,8n8oQVUjWzI,Perfect Time To Buy Calls for High Growth (Nvidia Stock),Nvidia,0.9
Invest with Henry,INTC,Information Technology,negative,1.0,2024-10-29 21:31:27+00:00,8n8oQVUjWzI,Perfect Time To Buy Calls for High Growth (Nvidia Stock),Intel,-0.7
Invest with Henry,GS,Financials,negative,1.0,2024-10-28 18:00:15+00:00,OQhahDREU0g,Secret Options Trading Strategies to Outsmart the Market (Full Course),Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-10-28 18:00:15+00:00,OQhahDREU0g,Secret Options Trading Strategies to Outsmart the Market (Full Course),Nvidia,0.8
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-10-28 18:00:15+00:00,OQhahDREU0g,Secret Options Trading Strategies to Outsmart the Market (Full Course),Amazon,0.1
Invest with Henry,MTCH,Communication Services,negative,1.0,2024-10-28 18:00:15+00:00,OQhahDREU0g,Secret Options Trading Strategies to Outsmart the Market (Full Course),Match Group,0.0
Invest with Henry,AMZN,Consumer Discretionary,positive,0.9,2024-10-27 15:45:01+00:00,TgNzibRAtx4,DO NOT Buy Tesla Stock (TSLA) Until It Hits THIS Price (Earnings Update),Amazon,0.7
Invest with Henry,MCD,Consumer Discretionary,negative,0.9,2024-10-27 15:45:01+00:00,TgNzibRAtx4,DO NOT Buy Tesla Stock (TSLA) Until It Hits THIS Price (Earnings Update),McDonald's,0.0
Invest with Henry,GS,Financials,negative,0.9,2024-10-27 15:45:01+00:00,TgNzibRAtx4,DO NOT Buy Tesla Stock (TSLA) Until It Hits THIS Price (Earnings Update),Goldman Sachs,0.0
Invest with Henry,PLTR,Information Technology,positive,0.9,2024-10-27 15:45:01+00:00,TgNzibRAtx4,DO NOT Buy Tesla Stock (TSLA) Until It Hits THIS Price (Earnings Update),Palantir Technologies,0.7
Invest with Henry,SLB,Energy,positive,1.0,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),Schlumberger,0.8
Invest with Henry,XOM,Energy,positive,1.0,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),ExxonMobil,0.9
Invest with Henry,COP,Energy,positive,1.0,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),ConocoPhillips,0.7
Invest with Henry,WMB,Energy,positive,0.8,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),Williams Companies,0.7
Invest with Henry,PSX,Energy,positive,1.0,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),Phillips 66,0.7
Invest with Henry,MPC,Energy,positive,1.0,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),Marathon Petroleum,0.7
Invest with Henry,OXY,Energy,positive,1.0,2024-10-25 13:11:51+00:00,K6wxlQvh2Pk,WARNING: THESE Stocks Will Explode (Not What You Think),Occidental Petroleum,0.8
Invest with Henry,NVDA,Information Technology,positive,0.98,2024-10-22 15:01:03+00:00,poxUuS2G35o,Make $8000/Month in Safe Passive Income With This Easy Options Strategy,Nvidia,0.3
Invest with Henry,MSFT,Information Technology,positive,0.98,2024-10-22 15:01:03+00:00,poxUuS2G35o,Make $8000/Month in Safe Passive Income With This Easy Options Strategy,Microsoft,0.3
Invest with Henry,AMZN,Consumer Discretionary,positive,0.98,2024-10-22 15:01:03+00:00,poxUuS2G35o,Make $8000/Month in Safe Passive Income With This Easy Options Strategy,Amazon,0.3
Invest with Henry,AVGO,Information Technology,positive,0.98,2024-10-22 15:01:03+00:00,poxUuS2G35o,Make $8000/Month in Safe Passive Income With This Easy Options Strategy,Broadcom,0.5
Invest with Henry,COST,Consumer Staples,negative,0.98,2024-10-22 15:01:03+00:00,poxUuS2G35o,Make $8000/Month in Safe Passive Income With This Easy Options Strategy,Costco,0.0
Invest with Henry,BAC,Financials,positive,1.0,2024-10-21 15:00:13+00:00,EUoWg_CWEDw,WARNING: These Stocks Will Crash Next (Soft Landing Canceled),Bank of America,0.7
Invest with Henry,GS,Financials,negative,1.0,2024-10-21 15:00:13+00:00,EUoWg_CWEDw,WARNING: These Stocks Will Crash Next (Soft Landing Canceled),Goldman Sachs,0.0
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-10-21 15:00:13+00:00,EUoWg_CWEDw,WARNING: These Stocks Will Crash Next (Soft Landing Canceled),Nvidia,0.6
Invest with Henry,NVDA,Information Technology,positive,0.95,2024-10-20 19:00:00+00:00,aLxxxIU_Qxk,URGENT: Maximize Profits on Palantir Stock (PLTR) with THIS Strategy,Nvidia,0.7
Invest with Henry,IBM,Information Technology,negative,0.95,2024-10-20 19:00:00+00:00,aLxxxIU_Qxk,URGENT: Maximize Profits on Palantir Stock (PLTR) with THIS Strategy,IBM,0.0
Invest with Henry,CRM,Information Technology,positive,0.95,2024-10-20 19:00:00+00:00,aLxxxIU_Qxk,URGENT: Maximize Profits on Palantir Stock (PLTR) with THIS Strategy,Salesforce,0.6
Invest with Henry,AMZN,Consumer Discretionary,positive,0.95,2024-10-20 19:00:00+00:00,aLxxxIU_Qxk,URGENT: Maximize Profits on Palantir Stock (PLTR) with THIS Strategy,Amazon,0.7
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-10-19 18:00:04+00:00,aohYavYXYCA,Nvidia Stock (NVDA) - I'm Doing THIS Right Now (Easy Money),Nvidia,1.0
Invest with Henry,BAC,Financials,negative,1.0,2024-10-19 18:00:04+00:00,aohYavYXYCA,Nvidia Stock (NVDA) - I'm Doing THIS Right Now (Easy Money),Bank of America,0.0
Invest with Henry,GS,Financials,negative,1.0,2024-10-19 18:00:04+00:00,aohYavYXYCA,Nvidia Stock (NVDA) - I'm Doing THIS Right Now (Easy Money),Goldman Sachs,0.0
Invest with Henry,AMZN,Consumer Discretionary,positive,1.0,2024-10-15 20:07:50+00:00,mrRsAasTUx4,NEW Options Strategy for HUGE Passive Income,Amazon,0.8
Invest with Henry,NVDA,Information Technology,positive,1.0,2024-10-15 20:07:50+00:00,mrRsAasTUx4,NEW Options Strategy for HUGE Passive Income,Nvidia,0.9
Invest with Henry,MSFT,Information Technology,positive,1.0,2024-10-15 20:07:50+00:00,mrRsAasTUx4,NEW Options Strategy for HUGE Passive Income,Microsoft,0.8
Invest with Henry,GS,Financials,positive,1.0,2024-10-15 20:07:50+00:00,mrRsAasTUx4,NEW Options Strategy for HUGE Passive Income,Goldman Sachs,0.2
Invest with Henry,BAC,Financials,positive,1.0,2024-10-15 20:07:50+00:00,mrRsAasTUx4,NEW Options Strategy for HUGE Passive Income,Bank of America,0.9
Invest with Henry,NVDA,Information Technology,negative,0.9,2024-10-12 18:30:02+00:00,aLVHRWutPoc,Maximize Profits on Palantir (PLTR) Stock Without Buying More Shares!,Nvidia,0.0
Invest with Henry,WMT,Consumer Staples,positive,0.9,2024-10-12 18:30:02+00:00,aLVHRWutPoc,Maximize Profits on Palantir (PLTR) Stock Without Buying More Shares!,Walmart,0.7
